"","...1","...2","...3","...4","...5","fips","FIPS.x","stateName","countyName","ccvi","adi.median2","adi.mean2","adi.median.uw2","adi.mean.uw2","fips.y","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS.y","LOCATION","RPL_THEMES","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","VLCN_EXPP","VLCN_EXPPE","VLCN_EXPT","VLCN_HLRB","VLCN_HLRP","VLCN_HLRR","VLCN_EALB","VLCN_EALP","VLCN_EALPE","VLCN_EALT","VLCN_EALS","VLCN_EALR","VLCN_RISKS","VLCN_RISKR","WFIR_EVNTS","WFIR_AFREQ","WFIR_EXPB","WFIR_EXPP","WFIR_EXPPE","WFIR_EXPA","WFIR_EXPT","WFIR_HLRB","WFIR_HLRP","WFIR_HLRA","WFIR_HLRR","WFIR_EALB","WFIR_EALP","WFIR_EALPE","WFIR_EALA","WFIR_EALT","WFIR_EALS","WFIR_EALR","WFIR_RISKS","WFIR_RISKR","WNTW_EVNTS","WNTW_AFREQ","WNTW_EXPB","WNTW_EXPP","WNTW_EXPPE","WNTW_EXPA","WNTW_EXPT","WNTW_HLRB","WNTW_HLRP","WNTW_HLRA","WNTW_HLRR","WNTW_EALB","WNTW_EALP","WNTW_EALPE","WNTW_EALA","WNTW_EALT","WNTW_EALS","WNTW_EALR","WNTW_RISKS","WNTW_RISKR","NRI_VER","coi_num"
"406",406,406,406,406,406,"17031381200",17031381200,"ILLINOIS","Cook",0.716642883861404,2,4.5,4.5,4.5,17031381200,17,"ILLINOIS","IL",17031,"Cook",17031381200,"Census Tract 3812, Cook County, Illinois",0.6206,0.6206,2015,17031,17,"IL",329,-0.013,-0.00442,-0.16591,-0.02126,"Moderate","Low","Very Low","Low",47,28,19,23,"Moderate","Low","Very Low","Low",47,31,18,23,"Moderate","Low","Very Low","Low",41,34,20,25,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.77759472799999,485885999.999999,3505.99999999999,26645599999.9999,0,27131485999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",23.6712906622382,0.000165525988905,1257.99751567526,0,1281.6688063375,17.2910434365304,"Relatively Low",7.65429583109053,"Relatively Low",2021-07-01,2
"407",407,407,407,407,407,"17031381400",17031381400,"ILLINOIS","Cook",0.692952439007495,6,6,6,6,17031381400,17,"ILLINOIS","IL",17031,"Cook",17031381400,"Census Tract 3814, Cook County, Illinois",0.6866,0.6866,2015,17031,17,"IL",495,-0.03401,-0.04205,-0.19342,-0.03078,"Low","Very Low","Very Low","Very Low",34,9,16,15,"Low","Very Low","Very Low","Very Low",33,11,16,16,"Low","Very Low","Very Low","Very Low",31,13,18,18,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,551874999.999999,3975.99999999999,30217599999.9999,0,30769474999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",26.8861287096618,0.00018771572501,1426.63951007554,0,1453.5256387852,18.0317064751205,"Relatively Moderate",6.6176993438121,"Relatively Low",2021-07-01,1
"408",408,408,408,408,408,"17031381500",17031381500,"ILLINOIS","Cook",0.804574611047228,6,6,6,6,17031381500,17,"ILLINOIS","IL",17031,"Cook",17031381500,"Census Tract 3815, Cook County, Illinois",0.8414,0.8414,2015,17031,17,"IL",90,-0.04907,-0.05276,-0.59456,-0.08037,"Low","Very Low","Very Low","Very Low",25,7,1,1,"Low","Very Low","Very Low","Very Low",24,8,2,2,"Low","Very Low","Very Low","Very Low",24,9,2,3,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,834473999.999999,2972.99999999999,22594799999.9999,0,23429273999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",40.6537266027023,0.000140361883917,1066.75031777027,0,1107.40404437297,16.4689015000337,"Relatively Low",8.02009664576231,"Relatively Low",2021-07-01,1
"409",409,409,409,409,409,"17031381800",17031381800,"ILLINOIS","Cook",0.779706570981283,6,6.5,6.5,6.5,17031381800,17,"ILLINOIS","IL",17031,"Cook",17031381800,"Census Tract 3818, Cook County, Illinois",0.5843,0.5843,2015,17031,17,"IL",154,-0.03076,-0.04308,-0.32009,-0.0453,"Low","Very Low","Very Low","Very Low",36,9,7,8,"Low","Very Low","Very Low","Very Low",35,11,9,10,"Low","Very Low","Very Low","Very Low",33,12,10,11,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,590034999.999999,3995.99999999999,30369599999.9999,0,30959634999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",28.7451994622066,0.0001886599691,1433.8157651564,0,1462.56096461861,18.068991890445,"Relatively Moderate",10.0271390480273,"Relatively Low",2021-07-01,1
"410",410,410,410,410,410,"17031381900",17031381900,"ILLINOIS","Cook",0.781050414929137,4,4.5,4.5,4.5,17031381900,17,"ILLINOIS","IL",17031,"Cook",17031381900,"Census Tract 3819, Cook County, Illinois",0.6438,0.6438,2015,17031,17,"IL",264,-0.03295,-0.02817,-0.24,-0.03462,"Low","Very Low","Very Low","Very Low",35,14,11,13,"Low","Very Low","Very Low","Very Low",33,16,13,14,"Low","Very Low","Very Low","Very Low",32,18,14,16,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,281109999.999999,1708.99999999999,12988399999.9999,0,13269509999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",13.6950571081731,8.0685657455e-05,613.210996659735,0,626.906053767908,13.623752695471,"Relatively Low",7.30599325142723,"Relatively Low",2021-07-01,1
"411",411,411,411,411,411,"17031390100",17031390100,"ILLINOIS","Cook",0.5336861500949,2,2,2,2,17031390100,17,"ILLINOIS","IL",17031,"Cook",17031390100,"Census Tract 3901, Cook County, Illinois",0.3754,0.3754,2015,17031,17,"IL",402,-0.01028,0.026122,-0.09851,-0.00986,"Moderate","Moderate","Low","Low",49,55,28,34,"Moderate","High","Low","Low",49,62,26,32,"Moderate","High","Low","Low",43,64,27,34,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,563103999.999999,3899.99999999999,29639999999.9999,0,30203103999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",27.4331807400687,0.00018412759747,1399.36974076826,0,1426.80292150833,17.9205194291706,"Relatively Moderate",7.85815286397458,"Relatively Low",2021-07-01,2
"412",412,412,412,412,412,"17031390200",17031390200,"ILLINOIS","Cook",0.591679250772364,2,2.5,2.5,2.5,17031390200,17,"ILLINOIS","IL",17031,"Cook",17031390200,"Census Tract 3902, Cook County, Illinois",0.3367,0.3367,2015,17031,17,"IL",390,-0.00835,0.013384,-0.03016,-0.00303,"Moderate","Moderate","Low","Moderate",50,43,39,41,"Moderate","Moderate","Low","Low",50,47,34,38,"Moderate","Moderate","Low","Low",43,50,36,39,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.77759472799999,673451000,5789,43996400000,0,44669851000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",32.8090423839646,0.000273311451731,2077.16703315576,0,2109.97607553973,20.4168360157243,"Relatively Moderate",13.2928975642035,"Relatively Moderate",2021-07-01,2
"413",413,413,413,413,413,"17031390300",17031390300,"ILLINOIS","Cook",0.981130768484781,4,4.5,4.5,4.5,17031390300,17,"ILLINOIS","IL",17031,"Cook",17031390300,"Census Tract 3903, Cook County, Illinois",0.9144,0.9144,2015,17031,17,"IL",834,-0.02814,-0.00689,-0.36431,-0.04634,"Low","Low","Very Low","Very Low",38,26,5,8,"Low","Low","Very Low","Very Low",36,29,7,10,"Low","Low","Very Low","Very Low",34,32,8,11,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,272217999.999999,2032.99999999999,15450799999.9999,0,15723017999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",13.2618585460235,9.5982411707e-05,729.466328969714,0,742.728187515737,14.4158160646874,"Relatively Low",8.73794642391482,"Relatively Low",2021-07-01,1
"414",414,414,414,414,414,"17031390400",17031390400,"ILLINOIS","Cook",0.891065515855973,3,6,6,6,17031390400,17,"ILLINOIS","IL",17031,"Cook",17031390400,"Census Tract 3904, Cook County, Illinois",0.8323,0.8323,2015,17031,17,"IL",331,-0.01417,-0.00783,-0.3085,-0.03838,"Moderate","Low","Very Low","Very Low",46,26,7,11,"Moderate","Low","Very Low","Very Low",46,28,9,13,"Moderate","Low","Very Low","Very Low",41,31,10,14,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,104945999.999999,1058.99999999999,8048399999.99999,0,8153345999.99999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",5.11273687622046,4.9997724544e-05,379.98270653169,0,385.095443407911,11.5811598738144,"Relatively Low",7.12735799957597,"Relatively Low",2021-07-01,1
"415",415,415,415,415,415,"17031390500",17031390500,"ILLINOIS","Cook",0.584447430764329,2,2,2,2,17031390500,17,"ILLINOIS","IL",17031,"Cook",17031390500,"Census Tract 3905, Cook County, Illinois",0.3587,0.3587,2015,17031,17,"IL",261,0.004227,-0.00216,0.05062,0.006143,"Moderate","Low","Moderate","Moderate",57,30,55,52,"Moderate","Low","Moderate","Moderate",56,33,49,48,"Moderate","Low","Moderate","Moderate",49,35,49,47,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,4.34313239e-07,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,241603999.999999,2242,17039200000,0,17280804000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",11.7704122143042,0.000105849762443,804.458194564731,0,816.228606779035,14.876469202474,"Relatively Low",8.06454267418875,"Relatively Low",2021-07-01,3
"416",416,416,416,416,416,"17031390600",17031390600,"ILLINOIS","Cook",0.516895027777393,1,1.5,1.5,1.5,17031390600,17,"ILLINOIS","IL",17031,"Cook",17031390600,"Census Tract 3906, Cook County, Illinois",0.5159,0.5159,2015,17031,17,"IL",403,0.014893,0.020017,0.109146,0.0165,"High","Moderate","High","High",62,49,67,65,"Moderate","Moderate","High","High",60,55,63,61,"Moderate","Moderate","High","Moderate",53,57,62,58,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.77759472799999,387508999.999999,4921,37399600000,0,37787109000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",18.8785809289283,0.000232331258243,1765.71756264631,0,1784.59614357524,19.3082351949722,"Relatively Moderate",12.2802268075524,"Relatively Moderate",2021-07-01,4
"417",417,417,417,417,417,"17031390700",17031390700,"ILLINOIS","Cook",0.46645239051828,5.5,6,6,6,17031390700,17,"ILLINOIS","IL",17031,"Cook",17031390700,"Census Tract 3907, Cook County, Illinois",0.3454,0.3454,2015,17031,17,"IL",415,0.008466,0.006971,-0.06981,-0.00647,"Moderate","Low","Low","Low",59,37,32,37,"Moderate","Moderate","Low","Low",58,41,29,35,"Moderate","Moderate","Low","Low",51,44,30,36,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,127593999.999999,1494.99999999999,11361999999.9999,0,11489593999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",6.21609731656732,7.0582245697e-05,536.425067294502,0,542.641164611069,12.983750928172,"Relatively Low",8.23997666722277,"Relatively Low",2021-07-01,2
"418",418,418,418,418,418,"17031400300",17031400300,"ILLINOIS","Cook",0.668777102007453,4,4,4,4,17031400300,17,"ILLINOIS","IL",17031,"Cook",17031400300,"Census Tract 4003, Cook County, Illinois",0.8709,0.8709,2015,17031,17,"IL",545,-0.02887,-0.01032,-0.47648,-0.05986,"Low","Low","Very Low","Very Low",37,24,2,4,"Low","Low","Very Low","Very Low",36,26,4,6,"Low","Low","Very Low","Very Low",33,29,5,7,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.77759472799999,495411999.999999,5111.99999999999,38851199999.9999,0,39346611999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",24.1353763013562,0.000241348789298,1834.25079866855,0,1858.38617496991,19.570770266251,"Relatively Moderate",12.1657857181332,"Relatively Moderate",2021-07-01,1
"419",419,419,419,419,419,"17031400400",17031400400,"ILLINOIS","Cook",0.807525526107979,5,6,6,6,17031400400,17,"ILLINOIS","IL",17031,"Cook",17031400400,"Census Tract 4004, Cook County, Illinois",0.9329,0.9329,2015,17031,17,"IL",554,-0.05123,-0.04562,-0.35485,-0.05189,"Low","Very Low","Very Low","Very Low",24,9,5,6,"Low","Very Low","Very Low","Very Low",23,10,7,8,"Low","Very Low","Very Low","Very Low",22,11,8,9,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,552873999.999999,5718.99999999999,43464399999.9999,0,44017273999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",26.9347977788911,0.000270006597417,2052.05014037274,0,2078.98493815163,20.3163823681192,"Relatively Moderate",13.2007783308967,"Relatively Moderate",2021-07-01,1
"420",420,420,420,420,420,"17031400500",17031400500,"ILLINOIS","Cook",0.778584392014519,7,8.5,8.5,8.5,17031400500,17,"ILLINOIS","IL",17031,"Cook",17031400500,"Census Tract 4005, Cook County, Illinois",0.7688,0.7688,2015,17031,17,"IL",765,-0.05497,-0.06071,-0.54224,-0.07576,"Low","Very Low","Very Low","Very Low",22,5,1,2,"Low","Very Low","Very Low","Very Low",21,6,3,3,"Low","Very Low","Very Low","Very Low",21,8,3,4,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,168751999.999999,1135.99999999999,8633599999.99999,0,8802351999.99999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",8.22122399458727,5.3633064289e-05,407.611288593013,0,415.8325125876,11.8814308409939,"Relatively Low",7.37498953837252,"Relatively Low",2021-07-01,1
"421",421,421,421,421,421,"17031400800",17031400800,"ILLINOIS","Cook",0.822764993557861,7,7,7,7,17031400800,17,"ILLINOIS","IL",17031,"Cook",17031400800,"Census Tract 4008, Cook County, Illinois",0.8985,0.8985,2015,17031,17,"IL",1017,-0.062,-0.03347,-0.54253,-0.07369,"Very Low","Very Low","Very Low","Very Low",19,12,1,2,"Very Low","Very Low","Very Low","Very Low",17,14,3,4,"Very Low","Very Low","Very Low","Very Low",17,16,3,4,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,4.1622014e-07,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,519626999.999999,3439.99999999999,26143999999.9999,0,26663626999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",25.3150775139577,0.000162409983409,1234.31587390841,0,1259.63095142237,17.1913654070675,"Relatively Low",8.09425351317187,"Relatively Low",2021-07-01,1
"422",422,422,422,422,422,"17031410100",17031410100,"ILLINOIS","Cook",0.704243498981726,5,5.5,5.5,5.5,17031410100,17,"ILLINOIS","IL",17031,"Cook",17031410100,"Census Tract 4101, Cook County, Illinois",0.546,0.546,2015,17031,17,"IL",211,0.01009,-0.02981,-0.08114,-0.0115,"Moderate","Very Low","Low","Low",60,14,30,32,"Moderate","Very Low","Low","Low",58,15,28,31,"Moderate","Very Low","Low","Low",52,17,29,33,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,469807999.999999,3512.99999999999,26698799999.9999,0,27168607999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",22.8880060825889,0.000165856474336,1260.50920495356,0,1283.39721103615,17.2988126033982,"Relatively Low",7.90450351120262,"Relatively Low",2021-07-01,2
"423",423,423,423,423,423,"17031410200",17031410200,"ILLINOIS","Cook",0.549853839653094,3,3,3,3,17031410200,17,"ILLINOIS","IL",17031,"Cook",17031410200,"Census Tract 4102, Cook County, Illinois",0.5137,0.5137,2015,17031,17,"IL",158,0.013251,0.005567,-0.0951,-0.00903,"High","Low","Low","Low",61,36,28,35,"Moderate","Low","Low","Low",60,39,26,33,"Moderate","Moderate","Low","Low",53,42,28,34,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,2.05915997e-07,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,941274999.999999,6383.99999999999,48518399999.9999,0,49459674999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",45.8568349738381,0.000301402713396,2290.66062181143,0,2336.51745678527,21.1228382628507,"Relatively Moderate",9.96886863241367,"Relatively Low",2021-07-01,2
"424",424,424,424,424,424,"17031410500",17031410500,"ILLINOIS","Cook",0.47847771574237,2,2.5,2.5,2.5,17031410500,17,"ILLINOIS","IL",17031,"Cook",17031410500,"Census Tract 4105, Cook County, Illinois",0.419,0.419,2015,17031,17,"IL",307,0.003341,-0.01212,-0.08278,-0.01057,"Moderate","Low","Low","Low",56,23,30,33,"Moderate","Low","Low","Low",56,25,27,32,"Moderate","Low","Low","Low",49,27,29,33,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,2.963710044e-06,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,1147763000,5813,44178800000,0,45326563000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",55.9164733792753,0.000274444544639,2085.7785392528,0,2141.69501263207,20.5186352867314,"Relatively Moderate",10.2339211131068,"Relatively Low",2021-07-01,2
"425",425,425,425,425,425,"17031410600",17031410600,"ILLINOIS","Cook",0.458957343345202,2,2.5,2.5,2.5,17031410600,17,"ILLINOIS","IL",17031,"Cook",17031410600,"Census Tract 4106, Cook County, Illinois",0.4349,0.4349,2015,17031,17,"IL",389,0.016252,0.016462,-0.04355,-0.00153,"High","Moderate","Low","Moderate",63,46,37,43,"High","Moderate","Low","Low",61,51,33,40,"Moderate","Moderate","Low","Low",54,54,34,40,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,552111000,3480.99999999999,26455599999.9999,0,27007710999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",26.8976261073976,0.000164345683793,1249.02719682418,0,1275.92482293158,17.2651739846353,"Relatively Low",8.11370449497442,"Relatively Low",2021-07-01,2
"426",426,426,426,426,426,"17031410700",17031410700,"ILLINOIS","Cook",0.409886258156579,4,4,4,4,17031410700,17,"ILLINOIS","IL",17031,"Cook",17031410700,"Census Tract 4107, Cook County, Illinois",0.3027,0.3027,2015,17031,17,"IL",222,0.005444,0.010782,0.10732,0.014262,"Moderate","Low","High","High",57,40,67,62,"Moderate","Moderate","High","Moderate",57,44,62,57,"Moderate","Moderate","High","Moderate",50,47,62,55,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,580827999.999999,3286.99999999999,24981199999.9999,0,25562027999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",28.2966547971469,0.000155186516124,1179.41752253981,0,1207.71417733696,16.951858495166,"Relatively Low",9.85740159053879,"Relatively Low",2021-07-01,3
"427",427,427,427,427,427,"17031410800",17031410800,"ILLINOIS","Cook",0.600628974383841,4,6,6,6,17031410800,17,"ILLINOIS","IL",17031,"Cook",17031410800,"Census Tract 4108, Cook County, Illinois",0.5898,0.5898,2015,17031,17,"IL",511,-0.00135,0.00352,-0.12743,-0.01464,"Moderate","Low","Low","Low",54,34,23,29,"Moderate","Low","Low","Low",53,38,22,28,"Moderate","Moderate","Low","Low",46,41,24,29,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,1219330999.99999,7545.99999999999,57349599999.9999,0,58568930999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",59.4031079604632,0.000356263295001,2707.60104200957,0,2767.00414997003,22.347684620654,"Relatively Moderate",14.2280401981209,"Relatively Moderate",2021-07-01,2
"428",428,428,428,428,428,"17031410900",17031410900,"ILLINOIS","Cook",0.523919036865657,3.5,4,4,4,17031410900,17,"ILLINOIS","IL",17031,"Cook",17031410900,"Census Tract 4109, Cook County, Illinois",0.4822,0.4822,2015,17031,17,"IL",481,0.016661,0.014496,0.05138,0.009374,"High","Moderate","Moderate","Moderate",63,44,55,56,"High","Moderate","Moderate","Moderate",61,48,49,51,"Moderate","Moderate","Moderate","Moderate",54,51,50,50,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,1156659999.99999,4883.99999999999,37118399999.9999,0,38275059999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",56.34991553036,0.000230584406677,1752.44149074672,0,1808.79140627708,19.3951030880909,"Relatively Moderate",10.160355586243,"Relatively Low",2021-07-01,3
"429",429,429,429,429,429,"17031411000",17031411000,"ILLINOIS","Cook",0.651501087543813,2.5,3.33333333333333,4,3.33333333333333,17031411000,17,"ILLINOIS","IL",17031,"Cook",17031411000,"Census Tract 4110, Cook County, Illinois",0.4982,0.4982,2015,17031,17,"IL",126,0.01933,-0.02445,0.109041,0.01227,"High","Very Low","High","Moderate",64,16,67,60,"High","Very Low","High","Moderate",62,18,63,55,"Moderate","Very Low","High","Moderate",55,20,62,53,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.77759472799999,2174083999.99999,2279,17320400000,0,19494484000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",105.916561267708,0.000107596614008,817.734266464328,0,923.650827732036,15.5023857094956,"Relatively Low",8.69457257995376,"Relatively Low",2021-07-01,3
"430",430,430,430,430,430,"17031411100",17031411100,"ILLINOIS","Cook",0.326096895304859,1,1,1,1,17031411100,17,"ILLINOIS","IL",17031,"Cook",17031411100,"Census Tract 4111, Cook County, Illinois",0.2745,0.2745,2015,17031,17,"IL",394,0.017014,-0.01523,0.233705,0.027528,"High","Low","Very High","High",63,21,91,77,"High","Low","Very High","High",61,23,91,74,"Moderate","Low","Very High","High",54,26,91,71,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,446598999.999999,5085.99999999999,38653599999.9999,0,39100198999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",21.7573149637259,0.000240121271982,1824.92166706343,0,1846.67898202716,19.5295872942138,"Relatively Moderate",11.6918720169959,"Relatively Moderate",2021-07-01,4
