"","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","RPL_THEMES"
"426",17,"ILLINOIS","IL",17031,"Cook",17031810501,"Census Tract 8105.01, Cook County, Illinois",0.5092
"427",17,"ILLINOIS","IL",17031,"Cook",17031810600,"Census Tract 8106, Cook County, Illinois",0.5984
"428",17,"ILLINOIS","IL",17031,"Cook",17031810701,"Census Tract 8107.01, Cook County, Illinois",0.7587
"429",17,"ILLINOIS","IL",17031,"Cook",17031810800,"Census Tract 8108, Cook County, Illinois",0.3396
"430",17,"ILLINOIS","IL",17031,"Cook",17031810900,"Census Tract 8109, Cook County, Illinois",0.5121
"431",17,"ILLINOIS","IL",17031,"Cook",17031811000,"Census Tract 8110, Cook County, Illinois",0.1948
"432",17,"ILLINOIS","IL",17031,"Cook",17031811100,"Census Tract 8111, Cook County, Illinois",0.5799
"433",17,"ILLINOIS","IL",17031,"Cook",17031811200,"Census Tract 8112, Cook County, Illinois",0.4168
"434",17,"ILLINOIS","IL",17031,"Cook",17031811301,"Census Tract 8113.01, Cook County, Illinois",0.7357
"435",17,"ILLINOIS","IL",17031,"Cook",17031811401,"Census Tract 8114.01, Cook County, Illinois",0.6359
"436",17,"ILLINOIS","IL",17031,"Cook",17031811402,"Census Tract 8114.02, Cook County, Illinois",0.387
"437",17,"ILLINOIS","IL",17031,"Cook",17031811500,"Census Tract 8115, Cook County, Illinois",0.4357
"438",17,"ILLINOIS","IL",17031,"Cook",17031811600,"Census Tract 8116, Cook County, Illinois",0.6458
"439",17,"ILLINOIS","IL",17031,"Cook",17031811702,"Census Tract 8117.02, Cook County, Illinois",0.6903
"440",17,"ILLINOIS","IL",17031,"Cook",17031811800,"Census Tract 8118, Cook County, Illinois",0.7056
"441",17,"ILLINOIS","IL",17031,"Cook",17031812000,"Census Tract 8120, Cook County, Illinois",0.2033
"442",17,"ILLINOIS","IL",17031,"Cook",17031812100,"Census Tract 8121, Cook County, Illinois",0.1373
"443",17,"ILLINOIS","IL",17031,"Cook",17031812200,"Census Tract 8122, Cook County, Illinois",0.2257
"444",17,"ILLINOIS","IL",17031,"Cook",17031812400,"Census Tract 8124, Cook County, Illinois",0.0907
"445",17,"ILLINOIS","IL",17031,"Cook",17031812900,"Census Tract 8129, Cook County, Illinois",0.3258
"446",17,"ILLINOIS","IL",17031,"Cook",17031813000,"Census Tract 8130, Cook County, Illinois",0.091
"447",17,"ILLINOIS","IL",17031,"Cook",17031813100,"Census Tract 8131, Cook County, Illinois",0.1428
"448",17,"ILLINOIS","IL",17031,"Cook",17031813200,"Census Tract 8132, Cook County, Illinois",0.2217
"449",17,"ILLINOIS","IL",17031,"Cook",17031813302,"Census Tract 8133.02, Cook County, Illinois",0.8806
"450",17,"ILLINOIS","IL",17031,"Cook",17031813500,"Census Tract 8135, Cook County, Illinois",0.6651
"451",17,"ILLINOIS","IL",17031,"Cook",17031813600,"Census Tract 8136, Cook County, Illinois",0.7906
"452",17,"ILLINOIS","IL",17031,"Cook",17031813702,"Census Tract 8137.02, Cook County, Illinois",0.7369
"453",17,"ILLINOIS","IL",17031,"Cook",17031813802,"Census Tract 8138.02, Cook County, Illinois",0.8074
"454",17,"ILLINOIS","IL",17031,"Cook",17031814200,"Census Tract 8142, Cook County, Illinois",0.8053
"455",17,"ILLINOIS","IL",17031,"Cook",17031814600,"Census Tract 8146, Cook County, Illinois",0.6454
"456",17,"ILLINOIS","IL",17031,"Cook",17031814700,"Census Tract 8147, Cook County, Illinois",0.7745
"457",17,"ILLINOIS","IL",17031,"Cook",17031814800,"Census Tract 8148, Cook County, Illinois",0.6168
"458",17,"ILLINOIS","IL",17031,"Cook",17031814900,"Census Tract 8149, Cook County, Illinois",0.7733
