"","fips","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met"
"1099",17031824116,2015,17031,17,"IL",1209,0.08731214,0.013605994,0.01346764,0.01268489,"Very High","Moderate","Moderate","Moderate",88,43,47,60,"Very High","Moderate","Moderate","Moderate",84,47,42,55,"High","Moderate","Moderate","Moderate",79,50,43,53
"1100",17031824117,2015,17031,17,"IL",2096,0.062281199,0.03987395,0.20763528,0.035339475,"Very High","High","Very High","Very High",81,70,87,85,"High","Very High","Very High","Very High",78,81,86,83,"High","Very High","Very High","High",72,81,85,80
"1101",17031824119,2015,17031,17,"IL",1114,0.099578343,0.04514882,0.16112706,0.034606047,"Very High","High","High","Very High",90,75,78,84,"Very High","Very High","High","Very High",87,87,75,82,"Very High","Very High","High","High",83,88,74,79
"1102",17031824120,2015,17031,17,"IL",1769,0.10286617,0.044817038,0.22277765,0.042125363,"Very High","High","Very High","Very High",91,75,90,91,"Very High","Very High","Very High","Very High",87,87,89,90,"Very High","Very High","Very High","Very High",84,88,89,89
"1103",17031824121,2015,17031,17,"IL",598,0.045720819,0.041577522,0.11968635,0.0234279,"High","High","High","High",76,72,69,72,"High","Very High","High","High",71,83,65,70,"High","Very High","High","High",65,84,64,66
"1104",17031824122,2015,17031,17,"IL",1138,0.053094149,0.029176839,0.20727131,0.033146206,"High","Moderate","Very High","Very High",78,59,87,83,"High","High","Very High","Very High",73,66,86,81,"High","High","Very High","High",68,66,85,78
"1105",17031824123,2015,17031,17,"IL",1743,0.043403041,0.018083436,0.10657248,0.019153228,"High","Moderate","High","High",75,47,67,68,"High","Moderate","High","High",71,53,62,64,"High","Moderate","High","High",64,55,61,61
"1106",17031824300,2015,17031,17,"IL",752,-0.089411959,-0.082725041,-0.51267803,-0.078460537,"Very Low","Very Low","Very Low","Very Low",9,3,2,1,"Very Low","Very Low","Very Low","Very Low",8,3,4,3,"Very Low","Very Low","Very Low","Very Low",7,4,4,3
"1107",17031824400,2015,17031,17,"IL",354,-0.055965975,-0.066032842,-0.20984218,-0.037667911,"Low","Very Low","Very Low","Very Low",22,5,14,12,"Very Low","Very Low","Very Low","Very Low",20,6,15,13,"Very Low","Very Low","Very Low","Very Low",20,7,16,14
"1108",17031824503,2015,17031,17,"IL",1392,0.039708428,0.023847435,0.094765857,0.017977437,"High","Moderate","High","High",73,53,64,66,"High","Moderate","Moderate","High",70,60,59,63,"High","High","Moderate","Moderate",63,61,59,60
"1109",17031824505,2015,17031,17,"IL",1099,0.055982277,0.031131754,0.15831566,0.027963618,"High","High","High","High",79,61,77,77,"High","High","High","High",75,68,74,75,"High","High","High","High",69,69,73,71
"1110",17031824506,2015,17031,17,"IL",1405,0.049721502,0.034802623,0.17286237,0.029355373,"High","High","High","High",77,65,80,79,"High","High","High","High",73,73,77,76,"High","High","High","High",66,75,76,73
"1111",17031824507,2015,17031,17,"IL",1007,0.075645991,0.04289978,0.058000073,0.019688908,"Very High","High","Moderate","High",85,73,56,68,"Very High","Very High","Moderate","High",82,85,51,65,"High","Very High","Moderate","High",76,85,51,62
"1112",17031824601,2015,17031,17,"IL",989,0.0030758018,0.035010308,0.15885656,0.022576151,"Moderate","High","High","High",56,65,78,72,"Moderate","High","High","High",56,74,74,69,"Moderate","High","High","High",49,75,73,65
"1113",17031824602,2015,17031,17,"IL",1465,0.0057605421,0.020009112,0.067339905,0.010611258,"Moderate","Moderate","Moderate","Moderate",58,49,58,58,"Moderate","Moderate","Moderate","Moderate",57,55,52,53,"Moderate","Moderate","Moderate","Moderate",50,57,52,51
"1114",17031824701,2015,17031,17,"IL",1018,-0.055633124,0.01419535,0.011681803,-0.0032974656,"Low","Moderate","Moderate","Moderate",22,43,47,41,"Low","Moderate","Moderate","Low",21,48,42,38,"Very Low","Moderate","Moderate","Low",20,51,43,38
"1115",17031824702,2015,17031,17,"IL",1260,-0.055784803,-0.011221239,-0.0039100382,-0.0078247907,"Low","Low","Moderate","Low",22,23,44,36,"Low","Low","Low","Low",21,26,39,34,"Very Low","Low","Low","Low",20,28,40,35
"1116",17031824800,2015,17031,17,"IL",3180,-0.080788299,-0.0038593221,-0.21096511,-0.033963587,"Very Low","Low","Very Low","Very Low",12,28,14,14,"Very Low","Low","Very Low","Very Low",10,32,14,15,"Very Low","Low","Very Low","Very Low",10,34,16,17
"1117",17031824900,2015,17031,17,"IL",873,-0.039589837,-0.0073305327,-0.37525648,-0.048928015,"Low","Low","Very Low","Very Low",31,26,4,7,"Low","Low","Very Low","Very Low",30,28,7,9,"Low","Low","Very Low","Very Low",29,31,8,10
"1118",17031825000,2015,17031,17,"IL",894,0.032728121,0.012579707,0.013690835,0.0065550106,"High","Moderate","Moderate","Moderate",70,42,47,53,"High","Moderate","Moderate","Moderate",67,46,42,48,"Moderate","Moderate","Moderate","Moderate",60,49,43,47
"1119",17031825200,2015,17031,17,"IL",579,-0.035664994,0.016358372,0.095931821,0.0089697875,"Low","Moderate","High","Moderate",33,46,64,56,"Low","Moderate","Moderate","Moderate",32,50,59,51,"Low","Moderate","Moderate","Moderate",30,54,59,49
"1120",17031825302,2015,17031,17,"IL",1347,0.049487084,0.0055061486,-0.03797242,0.0016370735,"High","Low","Low","Moderate",77,36,37,47,"High","Low","Low","Moderate",72,39,33,43,"High","Moderate","Low","Moderate",66,42,35,43
"1121",17031825303,2015,17031,17,"IL",1072,0.10294101,0.01538231,0.030677591,0.016611679,"Very High","Moderate","Moderate","High",91,45,51,65,"Very High","Moderate","Moderate","High",87,49,46,61,"Very High","Moderate","Moderate","Moderate",84,53,46,58
"1122",17031825304,2015,17031,17,"IL",912,0.055841014,0.030277539,0.12198944,0.023620823,"High","Moderate","High","High",79,60,70,73,"High","High","High","High",75,67,65,70,"High","High","High","High",69,68,64,66
"1123",17031825400,2015,17031,17,"IL",1108,0.080082528,-0.0035280117,0.079659559,0.017788997,"Very High","Low","High","High",86,29,61,66,"Very High","Low","Moderate","High",83,32,55,62,"High","Low","Moderate","Moderate",77,34,55,60
"1124",17031825501,2015,17031,17,"IL",1275,-0.032667402,-0.036523499,-0.13544364,-0.023284186,"Low","Very Low","Low","Low",35,11,22,21,"Low","Very Low","Low","Low",33,13,21,22,"Low","Very Low","Low","Low",32,15,23,23
"1125",17031825503,2015,17031,17,"IL",1720,0.013807174,0.039135043,-0.097620554,-0.0057105646,"High","High","Low","Low",62,69,28,38,"Moderate","High","Low","Low",60,79,26,36,"Moderate","High","Low","Low",53,80,27,37
"1126",17031825504,2015,17031,17,"IL",960,-0.040266972,0.007922641,-0.12036198,-0.017659532,"Low","Low","Low","Low",30,38,24,26,"Low","Moderate","Low","Low",29,41,23,26,"Low","Moderate","Low","Low",28,44,24,27
"1127",17031825505,2015,17031,17,"IL",1338,0.021687981,0.010083876,-0.098718815,-0.0080425981,"High","Low","Low","Low",66,40,28,36,"High","Moderate","Low","Low",63,43,26,34,"Moderate","Moderate","Low","Low",56,46,27,35
"1128",17031825600,2015,17031,17,"IL",1676,-0.057331271,-0.026029605,-0.20993726,-0.0335932,"Low","Very Low","Very Low","Very Low",21,15,14,14,"Very Low","Very Low","Very Low","Very Low",20,18,15,15,"Very Low","Very Low","Very Low","Very Low",19,20,16,17
"1129",17031825700,2015,17031,17,"IL",1005,-0.10319185,-0.041253883,-0.30170205,-0.05098886,"Very Low","Very Low","Very Low","Very Low",6,10,8,6,"Very Low","Very Low","Very Low","Very Low",5,11,10,8,"Very Low","Very Low","Very Low","Very Low",5,13,10,9
"1130",17031825801,2015,17031,17,"IL",914,-0.10909717,-0.10942355,-0.42674613,-0.07344716,"Very Low","Very Low","Very Low","Very Low",5,1,3,2,"Very Low","Very Low","Very Low","Very Low",4,2,5,4,"Very Low","Very Low","Very Low","Very Low",4,2,6,4
"1131",17031825802,2015,17031,17,"IL",1561,-0.10629441,-0.023469618,-0.24453679,-0.042781822,"Very Low","Very Low","Very Low","Very Low",5,17,11,9,"Very Low","Very Low","Very Low","Very Low",5,19,12,11,"Very Low","Low","Very Low","Very Low",4,21,14,12
"1132",17031825803,2015,17031,17,"IL",1131,-0.097887993,-0.018827677,-0.17826924,-0.033630162,"Very Low","Very Low","Very Low","Very Low",7,19,17,14,"Very Low","Low","Very Low","Very Low",6,21,17,15,"Very Low","Low","Very Low","Very Low",6,23,19,17
"1133",17031825900,2015,17031,17,"IL",1108,-0.089582309,-0.030708959,-0.29073769,-0.047085449,"Very Low","Very Low","Very Low","Very Low",9,13,8,8,"Very Low","Very Low","Very Low","Very Low",8,15,10,9,"Very Low","Very Low","Very Low","Very Low",7,17,11,10
"1134",17031826000,2015,17031,17,"IL",1070,-0.11815225,-0.084702604,-0.23957001,-0.050001919,"Very Low","Very Low","Very Low","Very Low",3,3,11,7,"Very Low","Very Low","Very Low","Very Low",3,3,13,9,"Very Low","Very Low","Very Low","Very Low",2,4,14,10
