"","fips","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met"
"24",37063001705,2015,37063,37,"NC",1097,0.052037772,0.023392377,-0.066404022,0.00049819704,"High","Moderate","Low","Moderate",78,53,33,45,"High","High","Low","Moderate",78,68,35,51,"High","Moderate","Low","Low",63,60,26,39
"25",37063001706,2015,37063,37,"NC",842,0.044158243,0.025359655,0.10261609,0.019546149,"High","Moderate","High","High",75,55,66,68,"High","High","High","High",76,71,71,74,"High","High","Moderate","Moderate",61,63,56,57
"26",37063001707,2015,37063,37,"NC",1085,0.059952453,0.050426859,0.18217069,0.033229329,"High","High","Very High","Very High",80,80,82,83,"High","Very High","Very High","Very High",80,97,84,85,"High","Very High","High","High",69,96,77,77
"27",37063001708,2015,37063,37,"NC",1871,0.032307971,-0.0038742155,0.0097495727,0.0043060365,"High","Low","Moderate","Moderate",70,28,46,50,"High","Low","Moderate","Moderate",71,35,52,57,"Moderate","Low","Moderate","Moderate",49,32,43,41
"28",37063001709,2015,37063,37,"NC",2437,0.03301698,-0.019531263,-0.281854,-0.031283014,"High","Very Low","Very Low","Very Low",71,19,9,15,"High","Very Low","Very Low","Very Low",72,20,7,15,"Moderate","Very Low","Very Low","Very Low",52,19,7,15
"29",37063001710,2015,37063,37,"NC",1313,0.029959405,-0.0039791651,-0.051730238,-0.0031355585,"High","Low","Low","Moderate",69,28,35,41,"High","Low","Low","Moderate",70,35,38,46,"Moderate","Low","Low","Low",48,30,32,33
"30",37063001711,2015,37063,37,"NC",1160,0.011624228,-0.0099580791,-0.14153847,-0.016274318,"High","Low","Low","Low",61,24,22,27,"High","Low","Low","Low",62,29,22,30,"Low","Low","Very Low","Low",39,27,19,22
"31",37063001801,2015,37063,37,"NC",2002,-0.047698677,0.00023150156,-0.0014050528,-0.0054237503,"Low","Low","Moderate","Low",26,32,44,39,"Low","Low","Moderate","Moderate",27,40,49,43,"Very Low","Low","Low","Low",17,36,40,30
"32",37063001802,2015,37063,37,"NC",2546,-0.084551543,-0.018923288,-0.16857855,-0.031032573,"Very Low","Very Low","Very Low","Very Low",11,19,18,15,"Very Low","Low","Very Low","Very Low",8,21,18,15,"Very Low","Low","Very Low","Very Low",4,23,16,17
"33",37063001806,2015,37063,37,"NC",1616,-0.066903949,0.037515912,0.15234712,0.014329495,"Very Low","High","High","High",17,68,76,62,"Very Low","Very High","High","High",14,85,80,69,"Very Low","High","High","Moderate",10,71,70,53
"34",37063001807,2015,37063,37,"NC",2613,-0.048363157,0.013716785,0.072532251,0.0045541511,"Low","Moderate","Moderate","Moderate",26,43,59,50,"Low","Moderate","High","Moderate",26,57,65,57,"Very Low","Moderate","Moderate","Moderate",17,45,48,43
"35",37063001808,2015,37063,37,"NC",1944,-0.01038508,0.040295992,0.24816263,0.032060325,"Moderate","High","Very High","Very High",49,71,93,82,"Moderate","Very High","Very High","Very High",51,88,94,84,"Low","High","Very High","High",33,79,89,72
"36",37063001809,2015,37063,37,"NC",1545,-0.019788854,0.01948176,0.06359642,0.0072882595,"Moderate","Moderate","Moderate","Moderate",43,49,58,53,"Moderate","High","High","Moderate",46,63,63,60,"Low","Moderate","Moderate","Moderate",27,49,45,45
