"","...1","fips","FIPS.x","stateName","countyName","ccvi","adi.median3","adi.mean3","adi.median3.uw","adi.mean3.uw","fips.y","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS.y","LOCATION","RPL_THEMES","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","coi_num"
"139",139,"22071011400",22071011400,"LOUISIANA","Orleans",0.254526814535681,1,1,1,1,22071011400,22,"LOUISIANA","LA",22071,"Orleans",22071011400,"Census Tract 114, Orleans Parish, Louisiana",0.0077,0.0077,2015,22071,22,"LA",344,0.123061,0.056721,0.114312,0.032973,"Very High","Very High","High","Very High",94,85,68,82,"Very High","Very High","Very High","Very High",100,100,84,98,"Very High","Very High","High","Very High",100,99,79,95,5
"140",140,"22071011500",22071011500,"LOUISIANA","Orleans",0.42966985771879,1,1,1,1,22071011500,22,"LOUISIANA","LA",22071,"Orleans",22071011500,"Census Tract 115, Orleans Parish, Louisiana",0.0807,0.0807,2015,22071,22,"LA",161,0.121366,0.000717,0.27618,0.045732,"Very High","Low","Very High","Very High",94,32,96,94,"Very High","Moderate","Very High","Very High",100,51,100,100,"Very High","Moderate","Very High","Very High",100,48,99,100,5
"141",141,"22071011600",22071011600,"LOUISIANA","Orleans",0.148612515758995,1,1,1,1,22071011600,22,"LOUISIANA","LA",22071,"Orleans",22071011600,"Census Tract 116, Orleans Parish, Louisiana",0.0875,0.0875,2015,22071,22,"LA",292,0.130384,0.052815,0.29874,0.05488,"Very High","Very High","Very High","Very High",95,82,98,98,"Very High","Very High","Very High","Very High",100,99,100,100,"Very High","Very High","Very High","Very High",100,97,100,100,5
"142",142,"22071011700",22071011700,"LOUISIANA","Orleans",0.206189994596916,1,1,1,1,22071011700,22,"LOUISIANA","LA",22071,"Orleans",22071011700,"Census Tract 117, Orleans Parish, Louisiana",0.1228,0.1228,2015,22071,22,"LA",711,0.1278,0.042896,0.249654,0.047819,"Very High","High","Very High","Very High",95,73,93,95,"Very High","Very High","Very High","Very High",100,96,99,100,"Very High","Very High","Very High","Very High",100,92,98,100,5
"143",143,"22071011900",22071011900,"LOUISIANA","Orleans",0.208946952799213,1,1,1,1,22071011900,22,"LOUISIANA","LA",22071,"Orleans",22071011900,"Census Tract 119, Orleans Parish, Louisiana",0.1049,0.1049,2015,22071,22,"LA",257,0.107686,-0.00018,0.222056,0.037809,"Very High","Low","Very High","Very High",92,31,89,87,"Very High","Moderate","Very High","Very High",100,50,98,99,"Very High","Moderate","Very High","Very High",99,48,96,97,5
"144",144,"22071012000",22071012000,"LOUISIANA","Orleans",0.107576786134855,1,1,1,1,22071012000,22,"LOUISIANA","LA",22071,"Orleans",22071012000,"Census Tract 120, Orleans Parish, Louisiana",0.1229,0.1229,2015,22071,22,"LA",233,0.125146,0.022391,0.189875,0.038381,"Very High","Moderate","Very High","Very High",94,52,84,88,"Very High","High","Very High","Very High",100,78,96,99,"Very High","High","Very High","Very High",100,70,94,97,5
"145",145,"22071012101",22071012101,"LOUISIANA","Orleans",0.118369099901636,1,1,1,1,22071012101,22,"LOUISIANA","LA",22071,"Orleans",22071012101,"Census Tract 121.01, Orleans Parish, Louisiana",0.2654,0.2654,2015,22071,22,"LA",382,0.099512,0.03835,0.109273,0.027831,"Very High","High","High","High",90,68,67,77,"Very High","Very High","Very High","Very High",100,94,83,94,"Very High","Very High","High","Very High",99,89,78,91,5
"146",146,"22071012102",22071012102,"LOUISIANA","Orleans",0.191892603316662,1,1,1,1,22071012102,22,"LOUISIANA","LA",22071,"Orleans",22071012102,"Census Tract 121.02, Orleans Parish, Louisiana",0.4336,0.4336,2015,22071,22,"LA",134,0.116309,0.014382,0.031055,0.018031,"Very High","Moderate","Moderate","High",93,44,51,66,"Very High","High","High","Very High",100,68,70,86,"Very High","High","High","High",100,65,63,79,5
"147",147,"22071012200",22071012200,"LOUISIANA","Orleans",0.168603926240978,1,1,1,1,22071012200,22,"LOUISIANA","LA",22071,"Orleans",22071012200,"Census Tract 122, Orleans Parish, Louisiana",0.0234,0.0234,2015,22071,22,"LA",378,0.102277,0.031836,0.231529,0.041706,"Very High","High","Very High","Very High",91,61,91,91,"Very High","Very High","Very High","Very High",100,88,98,100,"Very High","Very High","Very High","Very High",99,82,97,99,5
"148",148,"22071012300",22071012300,"LOUISIANA","Orleans",0.502860863662183,1.5,2.66666666666667,2,2.66666666666667,22071012300,22,"LOUISIANA","LA",22071,"Orleans",22071012300,"Census Tract 123, Orleans Parish, Louisiana",0.3399,0.3399,2015,22071,22,"LA",326,0.072328,-0.04319,-0.05186,-0.00261,"Very High","Very Low","Low","Moderate",84,9,35,42,"Very High","Very Low","Moderate","High",99,17,51,62,"Very High","Very Low","Moderate","Moderate",94,19,47,55,4
"149",149,"22071012400",22071012400,"LOUISIANA","Orleans",0.502098890289688,1,1.5,1.5,1.5,22071012400,22,"LOUISIANA","LA",22071,"Orleans",22071012400,"Census Tract 124, Orleans Parish, Louisiana",0.229,0.229,2015,22071,22,"LA",316,0.069997,-0.01085,0.018744,0.008792,"Very High","Low","Moderate","Moderate",83,24,48,55,"Very High","Low","High","High",98,38,67,77,"Very High","Low","Moderate","High",94,36,60,69,4
"150",150,"22071012500",22071012500,"LOUISIANA","Orleans",0.599853146950028,1,1,1,1,22071012500,22,"LOUISIANA","LA",22071,"Orleans",22071012500,"Census Tract 125, Orleans Parish, Louisiana",0.4329,0.4329,2015,22071,22,"LA",233,0.118132,-0.01182,0.065274,0.019448,"Very High","Low","Moderate","High",94,23,58,68,"Very High","Low","High","Very High",100,37,76,87,"Very High","Low","High","Very High",100,35,71,82,5
"151",151,"22071012600",22071012600,"LOUISIANA","Orleans",0.204569069422701,1,1,1,1,22071012600,22,"LOUISIANA","LA",22071,"Orleans",22071012600,"Census Tract 126, Orleans Parish, Louisiana",0.0946,0.0946,2015,22071,22,"LA",231,0.110055,0.022825,0.192977,0.037117,"Very High","Moderate","Very High","Very High",92,52,84,87,"Very High","High","Very High","Very High",100,78,96,99,"Very High","High","Very High","Very High",99,71,95,97,5
"152",152,"22071012700",22071012700,"LOUISIANA","Orleans",0.469888197725163,1,1.75,1.5,1.75,22071012700,22,"LOUISIANA","LA",22071,"Orleans",22071012700,"Census Tract 127, Orleans Parish, Louisiana",0.2646,0.2646,2015,22071,22,"LA",367,0.089973,0.011647,0.076566,0.020131,"Very High","Moderate","Moderate","High",88,41,60,69,"Very High","High","High","Very High",100,66,79,88,"Very High","High","High","Very High",99,63,74,84,5
"153",153,"22071012800",22071012800,"LOUISIANA","Orleans",0.813164129064435,1,1,1,1,22071012800,22,"LOUISIANA","LA",22071,"Orleans",22071012800,"Census Tract 128, Orleans Parish, Louisiana",0.4996,0.4996,2015,22071,22,"LA",315,0.070577,-0.00813,0.102809,0.018949,"Very High","Low","High","High",83,25,66,67,"Very High","Moderate","Very High","Very High",98,41,83,86,"Very High","Low","High","High",94,39,77,80,5
"154",154,"22071012900",22071012900,"LOUISIANA","Orleans",0.659924356825203,1,1.5,1.5,1.5,22071012900,22,"LOUISIANA","LA",22071,"Orleans",22071012900,"Census Tract 129, Orleans Parish, Louisiana",0.6491,0.6491,2015,22071,22,"LA",193,0.085271,-0.00157,-0.0125,0.007823,"Very High","Low","Moderate","Moderate",87,30,42,54,"Very High","Moderate","Moderate","High",100,49,60,76,"Very High","Moderate","Moderate","High",98,47,55,68,4
"155",155,"22071013000",22071013000,"LOUISIANA","Orleans",0.698064587633865,2,2,2,2,22071013000,22,"LOUISIANA","LA",22071,"Orleans",22071013000,"Census Tract 130, Orleans Parish, Louisiana",0.5092,0.5092,2015,22071,22,"LA",478,0.07613,-0.04861,0.012643,0.00476,"Very High","Very Low","Moderate","Moderate",85,8,47,51,"Very High","Very Low","High","High",99,14,66,72,"Very High","Very Low","Moderate","High",96,15,59,63,4
"156",156,"22071013100",22071013100,"LOUISIANA","Orleans",0.803189204915421,2.5,3.25,3,3.25,22071013100,22,"LOUISIANA","LA",22071,"Orleans",22071013100,"Census Tract 131, Orleans Parish, Louisiana",0.7905,0.7905,2015,22071,22,"LA",308,0.033433,-0.13528,-0.35053,-0.05151,"High","Very Low","Very Low","Very Low",71,1,5,6,"Very High","Very Low","Very Low","Very Low",91,1,10,10,"Very High","Very Low","Very Low","Very Low",85,1,10,8,1
"157",157,"22071013200",22071013200,"LOUISIANA","Orleans",0.710741053739904,2,2.75,2.5,2.75,22071013200,22,"LOUISIANA","LA",22071,"Orleans",22071013200,"Census Tract 132, Orleans Parish, Louisiana",0.5258,0.5258,2015,22071,22,"LA",395,0.028915,-0.02874,-0.27271,-0.03165,"High","Very Low","Very Low","Very Low",69,14,9,15,"Very High","Low","Very Low","Low",90,24,18,26,"Very High","Low","Very Low","Low",83,25,16,23,2
"158",158,"22071013301",22071013301,"LOUISIANA","Orleans",0.0985716462781064,1,1,1,1,22071013301,22,"LOUISIANA","LA",22071,"Orleans",22071013301,"Census Tract 133.01, Orleans Parish, Louisiana",0.0381,0.0381,2015,22071,22,"LA",739,0.068366,0.02879,0.27256,0.042412,"Very High","Moderate","Very High","Very High",83,58,96,91,"Very High","Very High","Very High","Very High",98,85,100,100,"Very High","High","Very High","Very High",93,78,99,99,5
"159",159,"22071013302",22071013302,"LOUISIANA","Orleans",0.225585680442222,1,1,1,1,22071013302,22,"LOUISIANA","LA",22071,"Orleans",22071013302,"Census Tract 133.02, Orleans Parish, Louisiana",0.1262,0.1262,2015,22071,22,"LA",366,0.064098,-0.05481,0.264909,0.032192,"Very High","Very Low","Very High","Very High",82,6,95,82,"Very High","Very Low","Very High","Very High",98,13,99,97,"Very High","Very Low","Very High","Very High",93,14,98,94,5
"160",160,"22071013400",22071013400,"LOUISIANA","Orleans",0.295382441362685,1,1,1,1,22071013400,22,"LOUISIANA","LA",22071,"Orleans",22071013400,"Census Tract 134, Orleans Parish, Louisiana",0.3833,0.3833,2015,22071,22,"LA",101,0.029409,-0.00994,0.047962,0.007799,"High","Low","Moderate","Moderate",69,24,54,54,"Very High","Low","High","High",90,39,73,76,"Very High","Low","High","High",84,36,68,68,4
"161",161,"22071013500",22071013500,"LOUISIANA","Orleans",0.5574458652554,1,1,1,1,22071013500,22,"LOUISIANA","LA",22071,"Orleans",22071013500,"Census Tract 135, Orleans Parish, Louisiana",0.3943,0.3943,2015,22071,22,"LA",10,-0.00332,-0.04277,-0.07948,-0.01417,"Moderate","Very Low","Low","Low",53,9,31,29,"High","Very Low","Moderate","Moderate",69,17,45,45,"Moderate","Very Low","Moderate","Moderate",53,19,43,41,3
"162",162,"22071013600",22071013600,"LOUISIANA","Orleans",0.458375472769842,1,1,1,1,22071013600,22,"LOUISIANA","LA",22071,"Orleans",22071013600,"Census Tract 136, Orleans Parish, Louisiana",0.2184,0.2184,2015,22071,22,"LA",116,-0.00137,-0.0481,0.003414,-0.00485,"Moderate","Very Low","Moderate","Low",54,8,45,39,"High","Very Low","High","Moderate",71,15,63,58,"Moderate","Very Low","Moderate","Moderate",56,15,57,51,3
"163",163,"22071013700",22071013700,"LOUISIANA","Orleans",0.633629348443496,7.5,8,8,8,22071013700,22,"LOUISIANA","LA",22071,"Orleans",22071013700,"Census Tract 137, Orleans Parish, Louisiana",0.7504,0.7504,2015,22071,22,"LA",1015,-0.01537,-0.08836,-0.58047,-0.07876,"Moderate","Very Low","Very Low","Very Low",46,2,1,1,"Moderate","Very Low","Very Low","Very Low",58,4,1,1,"Moderate","Very Low","Very Low","Very Low",43,5,1,1,1
"164",164,"22071013800",22071013800,"LOUISIANA","Orleans",0.955473046923706,5.5,5.66666666666667,6,5.66666666666667,22071013800,22,"LOUISIANA","LA",22071,"Orleans",22071013800,"Census Tract 138, Orleans Parish, Louisiana",0.9503,0.9503,2015,22071,22,"LA",966,-0.00563,-0.04703,-0.43448,-0.05628,"Moderate","Very Low","Very Low","Very Low",51,8,3,5,"High","Very Low","Very Low","Very Low",67,15,4,8,"Moderate","Very Low","Very Low","Very Low",51,16,3,4,1
"165",165,"22071013900",22071013900,"LOUISIANA","Orleans",0.813371939984206,1,2,2,2,22071013900,22,"LOUISIANA","LA",22071,"Orleans",22071013900,"Census Tract 139, Orleans Parish, Louisiana",0.6805,0.6805,2015,22071,22,"LA",199,0.037056,-0.03194,-0.11481,-0.01267,"High","Very Low","Low","Low",72,13,25,31,"Very High","Low","Low","Moderate",93,23,40,46,"Very High","Low","Low","Moderate",87,24,38,42,3
"166",166,"22071014000",22071014000,"LOUISIANA","Orleans",0.869536304567684,4,4.5,4.5,4.5,22071014000,22,"LOUISIANA","LA",22071,"Orleans",22071014000,"Census Tract 140, Orleans Parish, Louisiana",0.9853,0.9853,2015,22071,22,"LA",659,-0.01553,-0.02497,-0.59078,-0.07327,"Moderate","Very Low","Very Low","Very Low",46,16,1,2,"Moderate","Low","Very Low","Very Low",58,26,1,3,"Moderate","Low","Very Low","Very Low",42,28,1,2,1
"167",167,"22071014100",22071014100,"LOUISIANA","Orleans",0.556808578434768,1,1.66666666666667,1,1.66666666666667,22071014100,22,"LOUISIANA","LA",22071,"Orleans",22071014100,"Census Tract 141, Orleans Parish, Louisiana",0.7424,0.7424,2015,22071,22,"LA",144,0.036986,0.004914,-0.31157,-0.03172,"High","Low","Very Low","Very Low",72,35,7,15,"Very High","Moderate","Very Low","Low",93,57,14,26,"Very High","Moderate","Very Low","Low",86,52,14,23,2
"168",168,"22071014200",22071014200,"LOUISIANA","Orleans",0.303667170030895,1,1,1,1,22071014200,22,"LOUISIANA","LA",22071,"Orleans",22071014200,"Census Tract 142, Orleans Parish, Louisiana",0.0655,0.0655,2015,22071,22,"LA",125,0.072428,0.000796,0.01766,0.010168,"Very High","Low","Moderate","Moderate",84,32,48,57,"Very High","Moderate","High","High",99,51,66,79,"Very High","Moderate","Moderate","High",94,48,60,71,4
"169",169,"22071014300",22071014300,"LOUISIANA","Orleans",0.922181737576371,8,8,8,8,22071014300,22,"LOUISIANA","LA",22071,"Orleans",22071014300,"Census Tract 143, Orleans Parish, Louisiana",0.9876,0.9876,2015,22071,22,"LA",774,0.008269,-0.05123,-0.49551,-0.0623,"Moderate","Very Low","Very Low","Very Low",59,7,2,4,"High","Very Low","Very Low","Very Low",78,14,2,5,"High","Very Low","Very Low","Very Low",66,15,2,3,1
"170",170,"22071014400",22071014400,"LOUISIANA","Orleans",0.325556586913454,1,1,1,1,22071014400,22,"LOUISIANA","LA",22071,"Orleans",22071014400,"Census Tract 144, Orleans Parish, Louisiana",0.1871,0.1871,2015,22071,22,"LA",191,0.089574,-0.00205,0.079719,0.019004,"Very High","Low","High","High",88,30,61,67,"Very High","Moderate","High","Very High",100,49,79,86,"Very High","Moderate","High","High",99,46,74,80,5
