"","...1","fips","FIPS.x","stateName","countyName","ccvi","adi.median3","adi.mean3","adi.median3.uw","adi.mean3.uw","fips.y","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS.y","LOCATION","RPL_THEMES","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","coi_num"
"97",97,"22071005400",22071005400,"LOUISIANA","Orleans",0.552777046591208,2,2.33333333333333,2,2.33333333333333,22071005400,22,"LOUISIANA","LA",22071,"Orleans",22071005400,"Census Tract 54, Orleans Parish, Louisiana",0.4338,0.4338,2015,22071,22,"LA",194,0.022726,-0.01377,0.088261,0.011353,"High","Low","High","Moderate",66,22,63,58,"Very High","Low","Very High","High",88,36,81,80,"High","Low","High","High",79,34,75,73,4
"98",98,"22071005500",22071005500,"LOUISIANA","Orleans",0.0926421080339702,1,1.33333333333333,1,1.33333333333333,22071005500,22,"LOUISIANA","LA",22071,"Orleans",22071005500,"Census Tract 55, Orleans Parish, Louisiana",0.0247,0.0247,2015,22071,22,"LA",475,0.02595,-0.00266,0.159807,0.021232,"High","Low","High","High",68,29,78,70,"Very High","Moderate","Very High","Very High",89,48,92,90,"Very High","Moderate","Very High","Very High",82,45,89,86,5
"99",99,"22071005601",22071005601,"LOUISIANA","Orleans",0.19845942838143,1,1,1,1,22071005601,22,"LOUISIANA","LA",22071,"Orleans",22071005601,"Census Tract 56.01, Orleans Parish, Louisiana",0.0832,0.0832,2015,22071,22,"LA",602,0.057999,0.005907,0.232166,0.034128,"High","Low","Very High","Very High",80,36,91,84,"Very High","Moderate","Very High","Very High",96,58,98,98,"Very High","Moderate","Very High","Very High",90,53,97,95,5
"100",100,"22071005602",22071005602,"LOUISIANA","Orleans",0.120627311896482,1,1,1,1,22071005602,22,"LOUISIANA","LA",22071,"Orleans",22071005602,"Census Tract 56.02, Orleans Parish, Louisiana",0.0194,0.0194,2015,22071,22,"LA",684,0.051152,0.024547,0.286483,0.041679,"High","Moderate","Very High","Very High",77,54,97,91,"Very High","High","Very High","Very High",96,80,100,100,"Very High","High","Very High","Very High",89,72,99,99,5
"101",101,"22071005603",22071005603,"LOUISIANA","Orleans",0.106676272149181,1,1,1,1,22071005603,22,"LOUISIANA","LA",22071,"Orleans",22071005603,"Census Tract 56.03, Orleans Parish, Louisiana",0.0061,0.0061,2015,22071,22,"LA",319,0.056442,0.030378,0.278318,0.04193,"High","Moderate","Very High","Very High",79,60,97,91,"Very High","Very High","Very High","Very High",96,86,100,100,"Very High","High","Very High","Very High",90,80,99,99,5
"102",102,"22071005604",22071005604,"LOUISIANA","Orleans",0.0464665216608249,1,1,1,1,22071005604,22,"LOUISIANA","LA",22071,"Orleans",22071005604,"Census Tract 56.04, Orleans Parish, Louisiana",9e-04,9e-04,2015,22071,22,"LA",365,0.046418,0.029775,0.262142,0.038869,"High","Moderate","Very High","Very High",76,59,95,88,"Very High","Very High","Very High","Very High",95,86,99,99,"Very High","High","Very High","Very High",88,80,98,98,5
"103",103,"22071006300",22071006300,"LOUISIANA","Orleans",0.815339216691373,2,2,2,2,22071006300,22,"LOUISIANA","LA",22071,"Orleans",22071006300,"Census Tract 63, Orleans Parish, Louisiana",0.6875,0.6875,2015,22071,22,"LA",188,-0.00554,-0.04153,-0.26803,-0.03627,"Moderate","Very Low","Very Low","Very Low",51,10,9,12,"High","Very Low","Very Low","Low",67,17,19,22,"Moderate","Very Low","Very Low","Very Low",51,19,17,20,2
"104",104,"22071006400",22071006400,"LOUISIANA","Orleans",0.554010058048517,1,1.25,1,1.25,22071006400,22,"LOUISIANA","LA",22071,"Orleans",22071006400,"Census Tract 64, Orleans Parish, Louisiana",0.2057,0.2057,2015,22071,22,"LA",287,-0.00031,-0.06455,0.054094,-0.00056,"Moderate","Very Low","Moderate","Moderate",54,5,56,44,"High","Very Low","High","High",73,9,74,64,"Moderate","Very Low","High","Moderate",58,11,69,57,4
"105",105,"22071006500",22071006500,"LOUISIANA","Orleans",0.705337969825854,1.5,1.66666666666667,2,1.66666666666667,22071006500,22,"LOUISIANA","LA",22071,"Orleans",22071006500,"Census Tract 65, Orleans Parish, Louisiana",0.5731,0.5731,2015,22071,22,"LA",541,0.012808,-0.04335,-0.02295,-0.00585,"High","Very Low","Low","Low",61,9,40,38,"Very High","Very Low","Moderate","Moderate",81,17,57,57,"High","Very Low","Moderate","Moderate",73,18,51,50,3
"106",106,"22071006900",22071006900,"LOUISIANA","Orleans",0.74207894044139,4,4,4,4,22071006900,22,"LOUISIANA","LA",22071,"Orleans",22071006900,"Census Tract 69, Orleans Parish, Louisiana",0.8366,0.8366,2015,22071,22,"LA",363,0.004559,-0.08674,-0.56338,-0.07439,"Moderate","Very Low","Very Low","Very Low",57,3,1,2,"High","Very Low","Very Low","Very Low",76,4,1,2,"High","Very Low","Very Low","Very Low",63,5,1,1,1
