"","...1","fips","ccvi","adi.median","adi.mean","adi.median.uw","adi.mean.uw","FIPS","fips.y","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","risk_cat","coi_num","id"
"18",18,37063001400,0.97608789,10,10,10,10,37063001400,37063001400,0.90469998,2015,37063,37,"NC",859,-0.0769,-0.11118,-0.6191,-0.0925,"Very Low","Very Low","Very Low","Very Low",13,1,1,1,"Very Low","Very Low","Very Low","Very Low",10,1,1,1,"Very Low","Very Low","Very Low","Very Low",7,1,1,1,1,1,37063001400
"19",19,37063001501,0.321150995,NA,NA,NA,NA,NA,NA,0.41370001,2015,37063,37,"NC",20,0.012472,0.033834,-0.55173,-0.05938,"High","High","Very Low","Very Low",61,64,1,4,"High","Very High","Very Low","Very Low",63,81,1,3,"Low","High","Very Low","Very Low",40,68,1,3,1,1,37063001501
"20",20,37063001502,0.98502376,4,4,4,4,37063001502,37063001502,0.85750002,2015,37063,37,"NC",1046,0.019225,-0.07762,-0.37018,-0.04926,"High","Very Low","Very Low","Very Low",64,3,5,7,"High","Very Low","Very Low","Very Low",66,2,3,6,"Moderate","Very Low","Very Low","Very Low",42,4,4,7,1,1,37063001502
"21",21,37063001503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37063001503
"22",22,37063001601,0.455452266,3,3.33333333333333,3,3.33333333333333,37063001601,37063001601,0.20819999,2015,37063,37,"NC",1207,-0.004,0.047249,0.236336,0.032125,"Moderate","High","Very High","Very High",52,77,91,82,"Moderate","Very High","Very High","Very High",55,94,93,84,"Low","Very High","Very High","High",34,91,88,73,5,5,37063001601
"23",23,37063001603,0.356174062,2,3,3,3,37063001603,37063001603,0.1934,2015,37063,37,"NC",1499,-0.00335,0.050779,0.209885,0.029486,"Moderate","High","Very High","High",53,80,87,79,"Moderate","Very High","Very High","Very High",55,97,88,82,"Low","Very High","High","High",37,96,79,67,5,5,37063001603
"24",24,37063001604,0.138596029,2,2,2,2,37063001604,37063001604,0.0162,2015,37063,37,"NC",1359,0.030732,0.055518,0.25953,0.039554,"High","Very High","Very High","Very High",70,85,95,89,"High","Very High","Very High","Very High",71,99,95,90,"Moderate","Very High","Very High","Very High",48,99,93,85,5,5,37063001604
"25",25,37063001705,0.779554176,2.5,3.66666666666667,3,3.66666666666667,37063001705,37063001705,0.63910002,2015,37063,37,"NC",1097,0.052038,0.023392,-0.0664,0.000498,"High","Moderate","Low","Moderate",78,53,33,45,"High","High","Low","Moderate",78,68,35,51,"High","Moderate","Low","Low",63,60,26,39,3,3,37063001705
"26",26,37063001706,0.519388759,2,2.5,2.5,2.5,37063001706,37063001706,0.2739,2015,37063,37,"NC",842,0.044158,0.02536,0.102616,0.019546,"High","Moderate","High","High",75,55,66,68,"High","High","High","High",76,71,71,74,"High","High","Moderate","Moderate",61,63,56,57,4,4,37063001706
"27",27,37063001707,0.476732104,1.5,1.8,2,1.8,37063001707,37063001707,0.2342,2015,37063,37,"NC",1085,0.059952,0.050427,0.182171,0.033229,"High","High","Very High","Very High",80,80,82,83,"High","Very High","Very High","Very High",80,97,84,85,"High","Very High","High","High",69,96,77,77,5,5,37063001707
