"","fips","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met"
"137",22071010900,2015,22071,22,"LA",346,0.086177096,0.0022173882,0.09092246,0.020386312,"Very High","Low","High","High",87,33,63,69,"Very High","Moderate","Very High","Very High",100,53,81,88,"Very High","Moderate","High","Very High",98,50,75,84
"138",22071011100,2015,22071,22,"LA",258,0.085049897,-0.070939004,0.057454694,0.0086095752,"Very High","Very Low","Moderate","Moderate",87,4,56,55,"Very High","Very Low","High","High",100,8,75,76,"Very High","Very Low","High","High",98,9,70,68
"139",22071011200,2015,22071,22,"LA",191,0.094958648,-0.0059011159,0.089532696,0.020337213,"Very High","Low","High","High",89,27,63,69,"Very High","Moderate","Very High","Very High",100,44,81,88,"Very High","Moderate","High","Very High",99,41,75,84
"140",22071011400,2015,22071,22,"LA",344,0.12306084,0.056720566,0.11431172,0.032973267,"Very High","Very High","High","Very High",94,85,68,82,"Very High","Very High","Very High","Very High",100,100,84,98,"Very High","Very High","High","Very High",100,99,79,95
"141",22071011500,2015,22071,22,"LA",161,0.12136644,0.00071665068,0.27617973,0.045732129,"Very High","Low","Very High","Very High",94,32,96,94,"Very High","Moderate","Very High","Very High",100,51,100,100,"Very High","Moderate","Very High","Very High",100,48,99,100
"142",22071011600,2015,22071,22,"LA",292,0.13038409,0.052814528,0.29873979,0.054880407,"Very High","Very High","Very High","Very High",95,82,98,98,"Very High","Very High","Very High","Very High",100,99,100,100,"Very High","Very High","Very High","Very High",100,97,100,100
"143",22071011700,2015,22071,22,"LA",711,0.1277995,0.042895913,0.24965367,0.047818676,"Very High","High","Very High","Very High",95,73,93,95,"Very High","Very High","Very High","Very High",100,96,99,100,"Very High","Very High","Very High","Very High",100,92,98,100
"144",22071011900,2015,22071,22,"LA",257,0.10768576,-0.00018116637,0.22205646,0.037809085,"Very High","Low","Very High","Very High",92,31,89,87,"Very High","Moderate","Very High","Very High",100,50,98,99,"Very High","Moderate","Very High","Very High",99,48,96,97
"145",22071012000,2015,22071,22,"LA",233,0.12514576,0.022390615,0.18987513,0.038380928,"Very High","Moderate","Very High","Very High",94,52,84,88,"Very High","High","Very High","Very High",100,78,96,99,"Very High","High","Very High","Very High",100,70,94,97
"146",22071012101,2015,22071,22,"LA",382,0.099511765,0.038350366,0.10927269,0.027830906,"Very High","High","High","High",90,68,67,77,"Very High","Very High","Very High","Very High",100,94,83,94,"Very High","Very High","High","Very High",99,89,78,91
